county,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,total
Adams,,,,,,,,,,,,,,1,4,4,5,6,6,6,7,8,8,8,8,9,12,18,18
Allegheny,,,,,,,,,2,3,5,7,11,16,28,31,40,48,58,88,133,158,219,265,290,325,356,419,419
Armstrong,,,,,,,,,,,,,,,,,,,1,1,1,1,2,3,3,5,5,7,7
Beaver,,,,,,,,,,,,1,2,2,3,3,3,3,3,7,13,14,22,28,44,52,54,55,55
Bedford,,,,,,,,,,,,,,,,,,,,,,,,,0,2,3,3,3
Berks,,,,,,,,,,,,,1,1,5,7,13,14,16,20,36,65,65,68,82,110,151,168,168
Blair,,,,,,,,,,,,,,,,,,,,,1,1,2,3,6,4,4,4,4
Bradford,,,,,,,,,,,,,,,,,,,1,1,2,2,3,3,3,7,8,8,8
Bucks,,,,,,2,2,3,3,4,5,8,9,12,16,24,32,43,65,86,107,124,152,203,246,286,312,370,370
Butler,,,,,,,,,,,,,,,,1,1,5,6,12,19,26,41,47,49,60,64,69,69
Cambria,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,3,4,4
Cameron,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
Carbon,,,,,,,,,,,,,,,,,,,1,1,2,2,3,9,13,17,23,26,26
Centre,,,,,,,,,,,,,,,1,1,1,3,7,8,9,11,15,22,24,26,27,28,28
Chester,,,,,,,,1,2,2,2,4,9,10,17,19,23,40,40,54,84,107,116,137,146,159,183,210,210
Clarion,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,4,4,4
Clearfield,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,4,4,4,4,4
Clinton,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Columbia,,,,,,,,,,,,,,,,,1,1,1,1,3,3,4,6,6,7,8,11,11
Crawford,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,4,5,5,5
