county,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,total
Adams,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Allegheny,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2
Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Beaver,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,2,2
Bedford,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Berks,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1
Blair,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bradford,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bucks,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,6,6,6
Butler,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2
Cambria,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cameron,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Carbon,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1
Centre,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Chester,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,2
Clarion,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Clearfield,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Clinton,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Columbia,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Crawford,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cumberland,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
Dauphin,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1
Delaware,,,,,,,,,,,,,,,,,,,,,1,3,4,4,4,5,7,8,8
Elk,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Erie,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fayette,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1
Forest,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Franklin,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fulton,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Greene,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Huntingdon,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Indiana,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Juniata,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Lackawanna,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,3,3,3,3
Lancaster,,,,,,,,,,,,,,,,,,,,,,,1,2,2,3,3,4,4
Lawrence,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Lehigh,,,,,,,,,,,,,,,,,,,,,1,2,3,3,3,4,5,5,5
Luzerne,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,3,4,4,5,5
Lycoming,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
McKean,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Mercer,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Mifflin,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Monroe,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,3,7,7,8,10,10
Montgomery,,,,,,,,,,,,,,,,,,1,1,1,2,3,5,5,5,6,8,9,9
Montour,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Northampton,,,,,,,,,,,,,1,1,1,1,1,2,2,3,3,3,4,4,5,5,5,9,9
Northumberland,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Perry,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Philadelphia,,,,,,,,,,,,,,,,,,,,1,1,2,5,5,7,10,10,13,13
Pike,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
Potter,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Schuylkill,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Snyder,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1
Somerset,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Susquehanna,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Tioga,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Union,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Venango,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Warren,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Washington,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Wayne,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Westmoreland,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
York,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1
total,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,6,7,11,16,22,34,38,49,63,74,90,90
